unittitle,function
Moracin,Personne
Morain,Personne
Morant (alias Morand),Personne
Moré,Personne
Moreau,Personne
"Moreau, Gilles-François",Personne
Morel,Personne
Morel de La Forest,Personne
Morin,Personne
Mornac,Personne
"Mornac, Sieur de",Personne
"Mortagne, Sieur de",Personne
"Mortemart, Duc de",Personne
"Morveaux, Comte de",Personne
Mouchard,Personne
Moufle,Personne
Mouillot,Personne
Mousnier,Personne
"Moyencourt, Sieur de",Personne
Nadeau,Personne
Nadreau,Personne
"Nauclair, de",Personne
"Naudin, Veuve",Personne
Nauger,Personne
Nectoux,Personne
Nelson,Personne
"Nesmond, Marquis de",Personne
"Neuilly, Sieur de",Personne
"Neuvillette, de",Personne
Neveu,Personne
